INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
17 Morelos,Hombres,00-04 años,"79,434","2,750","2,141","3,181","6,228","7,113","7,809","6,216","8,440","4,678","4,698","13,982","12,198",0,0
17 Morelos,Hombres,05-09 años,"85,100","3,050","2,226","3,325","6,745","7,587","8,545","6,822","9,090","4,869","4,829","14,739","13,273",0,0
17 Morelos,Hombres,10-14 años,"84,822","2,961","2,317","3,359","6,573","7,626","8,498","6,444","9,118","4,658","4,903","14,721","13,644",0,0
17 Morelos,Hombres,15-19 años,"87,725","3,004","2,170","3,258","6,701","8,121","8,810","6,809","9,311","4,689","5,155","15,098","14,599",0,0
17 Morelos,Hombres,20-24 años,"75,194","2,206","1,678","2,519","5,417","6,229","7,206","5,694","8,342","3,850","4,365","13,710","13,978",0,0
17 Morelos,Hombres,25-29 años,"62,528","1,808","1,355","2,008","4,450","4,922","5,759","4,664","6,763","3,347","3,646","11,639","12,167",0,0
17 Morelos,Hombres,30-34 años,"59,712","1,804","1,432","1,993","4,579","4,733","5,664","4,456","6,437","3,293","3,294","11,038","10,989",0,0
17 Morelos,Hombres,35-39 años,"59,870","1,802","1,462","2,020","4,459","4,948","5,798","4,221","6,294","3,288","3,261","10,968","11,349",0,0
17 Morelos,Hombres,40-44 años,"51,504","1,593","1,190","1,707","3,784","4,323","4,968","3,763","5,457","2,564","2,764","9,399","9,992",0,0
17 Morelos,Hombres,45-49 años,"45,411","1,370","1,026","1,471","3,368","4,048","4,313","3,332","4,770","2,173","2,355","8,214","8,971",0,0
17 Morelos,Hombres,50-54 años,"40,293","1,208",901,"1,295","2,866","3,410","3,776","2,848","4,355","1,844","2,076","7,399","8,315",0,0
17 Morelos,Hombres,55-59 años,"31,856",970,704,"1,017","2,264","2,735","3,002","2,331","3,467","1,418","1,538","5,847","6,563",0,0
17 Morelos,Hombres,60-64 años,"25,556",832,549,840,"1,827","2,004","2,447","1,836","2,714","1,152","1,312","4,484","5,559",0,0
17 Morelos,Hombres,65-69 años,"18,850",634,449,630,"1,437","1,631","1,799","1,338","2,050",804,"1,018","3,149","3,911",0,0
17 Morelos,Hombres,70-74 años,"15,169",499,350,528,"1,155","1,422","1,566","1,170","1,772",636,769,"2,358","2,944",0,0
17 Morelos,Hombres,75-79 años,"10,876",318,243,412,871,"1,016","1,203",818,"1,246",471,543,"1,636","2,099",0,0
17 Morelos,Hombres,80-84 años,"6,621",177,141,215,533,641,728,500,727,268,332,937,"1,422",0,0
17 Morelos,Hombres,85-89 años,"3,862",81,76,132,303,396,430,292,423,151,180,590,808,0,0
17 Morelos,Hombres,90-94 años,"1,147",23,24,52,93,104,95,90,114,41,70,181,260,0,0
17 Morelos,Hombres,95-99 años,464,10,10,23,39,54,50,33,58,26,23,67,71,0,0
17 Morelos,Hombres,100 años y más,136,8,5,3,12,8,13,9,15,5,11,21,26,0,0
17 Morelos,Hombres,No especificado,"12,458",407,211,362,361,550,651,393,637,672,134,"1,219","6,861",0,0
17 Morelos,Mujeres,Total,"918,639","27,633","21,149","30,968","64,549","77,650","88,996","68,616","97,499","47,027","50,512","165,389","178,651",0,0
17 Morelos,Mujeres,00-04 años,"76,235","2,660","2,024","3,050","6,110","6,712","7,743","6,027","8,100","4,385","4,592","13,105","11,727",0,0
17 Morelos,Mujeres,05-09 años,"81,808","2,970","2,175","3,277","6,459","7,243","8,136","6,411","8,836","4,631","4,788","14,030","12,852",0,0
17 Morelos,Mujeres,10-14 años,"82,665","2,901","2,209","3,124","6,347","7,379","8,282","6,472","8,763","4,445","4,713","14,376","13,654",0,0
17 Morelos,Mujeres,15-19 años,"87,900","2,842","2,302","3,310","6,756","7,823","8,860","6,773","9,409","4,554","5,043","15,256","14,972",0,0
17 Morelos,Mujeres,20-24 años,"80,477","2,381","1,983","2,675","5,594","6,840","7,745","6,198","8,571","4,087","4,658","14,876","14,869",0,0
17 Morelos,Mujeres,25-29 años,"71,016","2,094","1,577","2,234","4,820","5,724","6,798","5,356","7,567","3,733","4,099","13,624","13,390",0,0
17 Morelos,Mujeres,30-34 años,"69,100","2,005","1,608","2,291","4,811","5,665","6,590","5,084","7,406","3,866","3,765","12,973","13,036",0,0
17 Morelos,Mujeres,35-39 años,"69,202","1,979","1,517","2,216","4,635","5,783","6,622","4,937","7,234","3,682","3,788","13,190","13,619",0,0
17 Morelos,Mujeres,40-44 años,"59,877","1,719","1,285","1,864","3,931","5,080","5,775","4,545","6,376","2,938","3,127","11,208","12,029",0,0
17 Morelos,Mujeres,45-49 años,"51,694","1,429","1,048","1,534","3,427","4,267","4,916","3,828","5,455","2,341","2,747","9,734","10,968",0,0
17 Morelos,Mujeres,50-54 años,"45,989","1,183",878,"1,313","2,862","3,762","4,297","3,349","4,842","2,089","2,373","8,900","10,141",0,0
17 Morelos,Mujeres,55-59 años,"35,048",906,645,"1,070","2,187","2,789","3,324","2,528","3,754","1,598","1,782","6,626","7,839",0,0
17 Morelos,Mujeres,60-64 años,"28,048",683,513,785,"1,737","2,147","2,577","1,993","3,066","1,180","1,511","5,146","6,710",0,0
17 Morelos,Mujeres,65-69 años,"21,254",509,376,624,"1,405","1,770","2,040","1,512","2,372",963,"1,146","3,655","4,882",0,0
17 Morelos,Mujeres,70-74 años,"17,819",417,327,491,"1,205","1,602","1,829","1,328","2,080",712,883,"2,905","4,040",0,0
17 Morelos,Mujeres,75-79 años,"12,659",249,234,328,897,"1,159","1,283",870,"1,396",525,622,"2,046","3,050",0,0
17 Morelos,Mujeres,80-84 años,"8,296",154,122,235,537,726,859,537,958,334,384,"1,375","2,075",0,0
17 Morelos,Mujeres,85-89 años,"4,705",75,86,121,320,414,461,334,476,209,219,730,"1,260",0,0
17 Morelos,Mujeres,90-94 años,"1,555",32,19,36,95,130,142,101,117,51,91,299,442,0,0
17 Morelos,Mujeres,95-99 años,670,15,11,14,49,55,57,45,74,28,40,104,178,0,0
17 Morelos,Mujeres,100 años y más,191,6,5,6,16,17,11,14,21,8,11,32,44,0,0
17 Morelos,Mujeres,No especificado,"12,431",424,205,370,349,563,649,374,626,668,130,"1,199","6,874",0,0
18 Nayarit,Total,Total,"1,084,979","67,891","41,740","93,058","134,256","87,766","58,415","90,689","142,599","35,702",0,0,"332,863",0,0
18 Nayarit,Total,00-04 años,"106,044","8,578","4,509","8,979","12,915","8,388","5,662","9,278","13,975","3,617",0,0,"30,143",0,0
18 Nayarit,Total,05-09 años,"104,943","8,038","4,336","9,048","12,698","8,455","5,534","9,078","13,857","3,680",0,0,"30,219",0,0
18 Nayarit,Total,10-14 años,"104,308","8,015","4,470","9,504","13,105","8,876","5,546","8,824","13,255","3,550",0,0,"29,163",0,0
18 Nayarit,Total,15-19 años,"107,191","7,568","4,512","9,423","13,043","8,653","5,806","8,708","13,738","3,605",0,0,"32,135",0,0
18 Nayarit,Total,20-24 años,"96,693","5,641","3,370","7,131","11,201","7,073","5,229","8,147","12,578","3,193",0,0,"33,130",0,0
18 Nayarit,Total,25-29 años,"82,067","4,505","2,703","6,124","9,091","5,719","4,517","7,373","11,545","2,708",0,0,"27,782",0,0
18 Nayarit,Total,30-34 años,"79,520","4,306","2,717","6,371","9,219","5,930","4,344","6,929","11,100","2,855",0,0,"25,749",0,0
18 Nayarit,Total,35-39 años,"78,128","4,003","2,663","6,611","9,611","6,035","4,237","6,291","10,977","2,843",0,0,"24,857",0,0
18 Nayarit,Total,40-44 años,"64,675","3,227","2,261","5,618","8,038","5,071","3,396","5,297","8,598","2,213",0,0,"20,956",0,0
18 Nayarit,Total,45-49 años,"55,916","2,849","2,060","4,796","6,966","4,585","2,953","4,575","7,194","1,742",0,0,"18,196",0,0
18 Nayarit,Total,50-54 años,"48,769","2,513","1,722","4,207","6,151","4,138","2,551","4,008","6,122","1,499",0,0,"15,858",0,0
18 Nayarit,Total,55-59 años,"39,899","2,079","1,578","3,766","5,283","3,560","2,239","3,051","4,862","1,111",0,0,"12,370",0,0
18 Nayarit,Total,60-64 años,"32,069","1,738","1,231","3,044","4,415","3,087","1,768","2,414","4,006",818,0,0,"9,548",0,0
18 Nayarit,Total,65-69 años,"25,368","1,480","1,155","2,579","3,883","2,557","1,337","1,868","3,102",615,0,0,"6,792",0,0
18 Nayarit,Total,70-74 años,"21,066","1,348",894,"2,284","3,361","2,262","1,111","1,537","2,599",451,0,0,"5,219",0,0
18 Nayarit,Total,75-79 años,"13,928",801,628,"1,555","2,179","1,489",765,"1,041","1,801",295,0,0,"3,374",0,0
18 Nayarit,Total,80-84 años,"8,690",482,412,917,"1,356",912,493,617,"1,118",171,0,0,"2,212",0,0
18 Nayarit,Total,85-89 años,"5,111",269,245,563,790,526,295,389,669,118,0,0,"1,247",0,0
18 Nayarit,Total,90-94 años,"2,113",115,92,238,328,213,145,141,267,63,0,0,511,0,0
18 Nayarit,Total,95-99 años,799,49,36,82,135,79,43,40,101,20,0,0,214,0,0
18 Nayarit,Total,100 años y más,247,39,16,26,50,22,9,17,24,4,0,0,40,0,0
18 Nayarit,Total,No especificado,"7,435",248,130,192,438,136,435,"1,066","1,111",531,0,0,"3,148",0,0
18 Nayarit,Hombres,Total,"541,007","35,168","21,501","48,455","68,637","44,080","29,339","45,661","70,095","17,363",0,0,"160,708",0,0
18 Nayarit,Hombres,00-04 años,"54,138","4,342","2,295","4,534","6,614","4,345","2,918","4,724","7,053","1,889",0,0,"15,424",0,0
18 Nayarit,Hombres,05-09 años,"53,253","4,087","2,140","4,640","6,525","4,261","2,836","4,630","7,044","1,852",0,0,"15,238",0,0
18 Nayarit,Hombres,10-14 años,"53,367","4,101","2,347","4,918","6,668","4,496","2,823","4,575","6,665","1,807",0,0,"14,967",0,0
18 Nayarit,Hombres,15-19 años,"54,204","3,853","2,332","4,773","6,657","4,397","2,986","4,435","6,942","1,818",0,0,"16,011",0,0
18 Nayarit,Hombres,20-24 años,"48,059","3,000","1,732","3,711","5,722","3,491","2,636","4,052","6,170","1,494",0,0,"16,051",0,0
18 Nayarit,Hombres,25-29 años,"40,065","2,264","1,366","3,244","4,542","2,735","2,248","3,608","5,526","1,234",0,0,"13,298",0,0
18 Nayarit,Hombres,30-34 años,"38,922","2,208","1,392","3,362","4,655","2,896","2,127","3,485","5,288","1,346",0,0,"12,163",0,0
18 Nayarit,Hombres,35-39 años,"38,953","2,126","1,399","3,618","5,004","3,090","2,089","3,148","5,411","1,303",0,0,"11,765",0,0
18 Nayarit,Hombres,40-44 años,"31,810","1,647","1,145","3,009","4,162","2,559","1,657","2,643","4,231","1,071",0,0,"9,686",0,0
18 Nayarit,Hombres,45-49 años,"27,147","1,445","1,072","2,515","3,539","2,187","1,474","2,325","3,445",817,0,0,"8,328",0,0
18 Nayarit,Hombres,50-54 años,"23,609","1,362",872,"2,207","3,070","2,059","1,231","1,969","2,946",690,0,0,"7,203",0,0
18 Nayarit,Hombres,55-59 años,"19,693","1,117",831,"1,895","2,747","1,821","1,122","1,546","2,294",562,0,0,"5,758",0,0
18 Nayarit,Hombres,60-64 años,"15,866",949,664,"1,545","2,267","1,575",908,"1,189","1,957",379,0,0,"4,433",0,0
18 Nayarit,Hombres,65-69 años,"12,694",806,609,"1,384","2,033","1,309",652,936,"1,498",292,0,0,"3,175",0,0
18 Nayarit,Hombres,70-74 años,"10,519",736,489,"1,211","1,751","1,146",559,767,"1,245",228,0,0,"2,387",0,0
18 Nayarit,Hombres,75-79 años,"7,002",458,344,834,"1,160",767,402,523,859,154,0,0,"1,501",0,0
18 Nayarit,Hombres,80-84 años,"4,150",283,210,474,668,462,216,306,516,77,0,0,938,0,0
18 Nayarit,Hombres,85-89 años,"2,390",148,120,311,386,248,141,187,294,48,0,0,507,0,0
18 Nayarit,Hombres,90-94 años,944,59,45,112,164,107,73,58,116,29,0,0,181,0,0
18 Nayarit,Hombres,95-99 años,368,24,24,41,65,45,19,16,36,6,0,0,92,0,0
18 Nayarit,Hombres,100 años y más,134,26,9,18,24,9,5,10,11,2,0,0,20,0,0
18 Nayarit,Hombres,No especificado,"3,720",127,64,99,214,75,217,529,548,265,0,0,"1,582",0,0
18 Nayarit,Mujeres,Total,"543,972","32,723","20,239","44,603","65,619","43,686","29,076","45,028","72,504","18,339",0,0,"172,155",0,0
18 Nayarit,Mujeres,00-04 años,"51,906","4,236","2,214","4,445","6,301","4,043","2,744","4,554","6,922","1,728",0,0,"14,719",0,0
18 Nayarit,Mujeres,05-09 años,"51,690","3,951","2,196","4,408","6,173","4,194","2,698","4,448","6,813","1,828",0,0,"14,981",0,0
18 Nayarit,Mujeres,10-14 años,"50,941","3,914","2,123","4,586","6,437","4,380","2,723","4,249","6,590","1,743",0,0,"14,196",0,0
18 Nayarit,Mujeres,15-19 años,"52,987","3,715","2,180","4,650","6,386","4,256","2,820","4,273","6,796","1,787",0,0,"16,124",0,0
18 Nayarit,Mujeres,20-24 años,"48,634","2,641","1,638","3,420","5,479","3,582","2,593","4,095","6,408","1,699",0,0,"17,079",0,0
18 Nayarit,Mujeres,25-29 años,"42,002","2,241","1,337","2,880","4,549","2,984","2,269","3,765","6,019","1,474",0,0,"14,484",0,0
18 Nayarit,Mujeres,30-34 años,"40,598","2,098","1,325","3,009","4,564","3,034","2,217","3,444","5,812","1,509",0,0,"13,586",0,0
18 Nayarit,Mujeres,35-39 años,"39,175","1,877","1,264","2,993","4,607","2,945","2,148","3,143","5,566","1,540",0,0,"13,092",0,0
18 Nayarit,Mujeres,40-44 años,"32,865","1,580","1,116","2,609","3,876","2,512","1,739","2,654","4,367","1,142",0,0,"11,270",0,0
18 Nayarit,Mujeres,45-49 años,"28,769","1,404",988,"2,281","3,427","2,398","1,479","2,250","3,749",925,0,0,"9,868",0,0
18 Nayarit,Mujeres,50-54 años,"25,160","1,151",850,"2,000","3,081","2,079","1,320","2,039","3,176",809,0,0,"8,655",0,0
18 Nayarit,Mujeres,55-59 años,"20,206",962,747,"1,871","2,536","1,739","1,117","1,505","2,568",549,0,0,"6,612",0,0
18 Nayarit,Mujeres,60-64 años,"16,203",789,567,"1,499","2,148","1,512",860,"1,225","2,049",439,0,0,"5,115",0,0
18 Nayarit,Mujeres,65-69 años,"12,674",674,546,"1,195","1,850","1,248",685,932,"1,604",323,0,0,"3,617",0,0
18 Nayarit,Mujeres,70-74 años,"10,547",612,405,"1,073","1,610","1,116",552,770,"1,354",223,0,0,"2,832",0,0
18 Nayarit,Mujeres,75-79 años,"6,926",343,284,721,"1,019",722,363,518,942,141,0,0,"1,873",0,0
18 Nayarit,Mujeres,80-84 años,"4,540",199,202,443,688,450,277,311,602,94,0,0,"1,274",0,0
18 Nayarit,Mujeres,85-89 años,"2,721",121,125,252,404,278,154,202,375,70,0,0,740,0,0
18 Nayarit,Mujeres,90-94 años,"1,169",56,47,126,164,106,72,83,151,34,0,0,330,0,0
18 Nayarit,Mujeres,95-99 años,431,25,12,41,70,34,24,24,65,14,0,0,122,0,0
18 Nayarit,Mujeres,100 años y más,113,13,7,8,26,13,4,7,13,2,0,0,20,0,0
18 Nayarit,Mujeres,No especificado,"3,715",121,66,93,224,61,218,537,563,266,0,0,"1,566",0,0
19 Nuevo León,Total,Total,"4,653,458","109,460","50,393","30,759","56,721","64,291","151,713","10,272","136,730","149,652","278,598","274,520","1,531,221","673,616","1,135,512"
19 Nuevo León,Total,00-04 años,"413,360","9,747","4,825","3,070","6,031","7,674","18,372","1,249","15,309","14,813","32,075","26,206","135,179","52,154","86,656"
19 Nuevo León,Total,05-09 años,"430,525","10,269","5,118","3,284","5,819","7,689","17,090","1,231","15,250","15,162","31,763","27,187","142,920","55,656","92,087"
19 Nuevo León,Total,10-14 años,"415,368","10,052","5,139","3,060","5,299","6,221","13,981","1,034","13,397","13,482","26,996","23,655","143,954","57,627","91,471"
19 Nuevo León,Total,15-19 años,"406,428","9,408","4,535","2,624","4,898","4,948","11,938",950,"11,213","12,254","23,181","21,999","142,569","60,930","94,981"
19 Nuevo León,Total,20-24 años,"401,723","7,322","3,660","2,280","4,723","5,103","12,345",828,"10,216","12,555","23,706","24,636","134,823","59,824","99,702"
19 Nuevo León,Total,25-29 años,"384,086","6,838","3,295","2,087","4,783","6,593","15,401",738,"12,501","13,542","27,117","25,961","121,483","51,869","91,878"
19 Nuevo León,Total,30-34 años,"383,736","7,323","3,537","2,380","4,677","6,653","15,599",717,"13,762","12,971","26,985","25,586","124,786","49,015","89,745"
19 Nuevo León,Total,35-39 años,"383,357","7,299","3,563","2,183","4,475","5,438","12,543",695,"12,229","11,595","23,763","23,015","131,771","53,137","91,651"
19 Nuevo León,Total,40-44 años,"321,008","6,484","3,014","1,843","3,402","3,651","9,060",618,"8,589","9,395","17,139","16,900","114,508","48,784","77,621"
19 Nuevo León,Total,45-49 años,"260,606","5,485","2,442","1,442","2,762","2,497","6,166",519,"5,920","7,398","12,411","12,702","93,390","43,305","64,167"
19 Nuevo León,Total,50-54 años,"220,801","4,968","2,034","1,241","2,109","1,956","4,655",377,"4,468","6,089","9,595","10,915","74,828","38,794","58,772"
19 Nuevo León,Total,55-59 años,"162,140","4,405","1,681",991,"1,616","1,358","3,443",242,"3,195","4,621","6,458","7,823","50,257","28,554","47,496"
19 Nuevo León,Total,60-64 años,"132,607","4,524","1,750","1,024","1,422","1,172","2,944",234,"2,530","3,943","5,017","6,490","36,427","22,745","42,385"
19 Nuevo León,Total,65-69 años,"96,803","4,475","1,704",939,"1,207",897,"2,357",213,"2,025","3,265","3,625","4,490","23,939","15,801","31,866"
19 Nuevo León,Total,70-74 años,"75,631","4,172","1,608",823,"1,165",771,"2,001",223,"1,717","2,708","2,887","3,407","17,123","11,737","25,289"
19 Nuevo León,Total,75-79 años,"48,049","2,661","1,000",589,688,511,"1,274",165,"1,005","1,647","1,784","2,247","10,650","7,228","16,600"
19 Nuevo León,Total,80-84 años,"30,455","1,646",619,368,420,313,747,86,563,"1,111","1,083","1,488","6,529","4,505","10,977"
19 Nuevo León,Total,85-89 años,"16,005",897,401,190,255,160,408,61,300,568,618,752,"3,255","2,354","5,786"
19 Nuevo León,Total,90-94 años,"5,394",300,120,70,104,53,120,23,90,196,191,285,"1,056",749,"2,037"
19 Nuevo León,Total,95-99 años,"1,874",135,68,31,29,31,50,9,30,58,74,103,348,261,647
19 Nuevo León,Total,100 años y más,460,47,21,4,13,9,12,3,13,9,23,25,84,52,145
19 Nuevo León,Total,No especificado,"63,042","1,003",259,236,824,593,"1,207",57,"2,408","2,270","2,107","8,648","21,342","8,535","13,553"
19 Nuevo León,Hombres,Total,"2,320,185","57,462","25,755","15,692","29,306","32,811","76,485","4,986","68,810","74,363","139,355","133,748","765,255","334,519","561,638"
19 Nuevo León,Hombres,00-04 años,"210,075","4,961","2,442","1,560","3,103","3,870","9,400",651,"7,679","7,513","16,294","13,331","68,798","26,511","43,962"
19 Nuevo León,Hombres,05-09 años,"219,102","5,211","2,565","1,715","2,997","3,832","8,729",616,"7,859","7,706","16,080","13,733","72,925","28,464","46,670"
19 Nuevo León,Hombres,10-14 años,"211,365","5,153","2,571","1,521","2,715","3,214","7,110",508,"6,861","6,796","13,697","12,041","73,413","29,256","46,509"
19 Nuevo León,Hombres,15-19 años,"205,518","4,942","2,319","1,364","2,459","2,468","6,113",461,"5,649","6,152","11,684","10,477","72,469","31,111","47,850"
19 Nuevo León,Hombres,20-24 años,"202,766","3,774","1,861","1,178","2,418","2,448","5,904",383,"5,022","6,089","11,548","11,047","69,509","30,724","50,861"
19 Nuevo León,Hombres,25-29 años,"192,963","3,485","1,637","1,020","2,464","3,335","7,593",334,"6,020","6,758","13,284","12,359","61,072","26,408","47,194"
